SiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,TiO2,Mineral
75.12,14.4,12.9,13.93,11.32,7.23,3.24,1.2,Dolomite
48.7,17.2,13.54,7.63,1.83,5.17,4.72,2.0,Chlorite
51.99,15.89,1.42,8.66,7.8,5.12,1.42,2.03,Syenite
77.23,12.44,13.87,13.78,4.29,3.31,2.08,1.19,Serpentine
32.26,16.2,12.04,6.65,6.6,4.76,2.66,2.09,Syenite
30.7,9.92,10.82,6.58,0.62,6.5,3.23,1.53,Feldspar
44.55,6.2,14.2,8.41,9.14,6.42,4.94,2.57,Serpentine
42.07,15.03,8.03,5.77,4.55,1.59,1.84,2.97,Pyroxene
35.56,17.35,12.46,1.4,1.1,7.08,2.59,1.95,Basalt
32.55,5.3,14.35,13.64,0.83,4.45,4.57,1.42,Gabbro
65.98,12.27,5.42,14.26,10.09,6.09,2.58,2.36,Gabbro
44.27,21.56,10.36,11.48,4.82,7.87,1.35,2.12,Andesite
53.06,23.07,13.25,11.75,4.52,6.84,3.35,0.25,Amphibole
59.9,24.38,14.05,12.26,11.39,0.98,3.49,1.75,Granite
59.51,18.9,3.91,2.6,4.65,6.39,3.06,1.81,Andesite
74.04,11.11,12.35,7.82,6.17,1.18,2.36,2.25,Serpentine
72.34,7.46,3.46,7.59,7.34,6.7,1.63,1.88,Andesite
51.87,15.77,3.36,11.09,6.85,7.72,0.99,2.55,Gabbro
64.16,17.1,10.76,12.32,11.56,5.23,3.75,1.12,Olivine
69.08,8.55,9.23,14.79,6.27,3.83,1.07,2.34,Rhyolite
74.52,20.81,8.2,9.12,2.5,7.62,2.11,1.07,Andesite
71.43,18.76,4.07,14.61,2.89,2.54,1.66,2.88,Serpentine
77.47,18.62,5.11,2.88,0.53,6.22,1.83,2.73,Feldspar
71.88,13.89,7.6,3.88,9.53,2.52,2.38,2.97,Peridotite
79.4,23.51,13.3,3.18,7.78,6.98,1.85,0.86,Pyroxene
53.0,22.73,13.07,5.29,4.1,6.95,3.76,1.9,Olivine
65.52,17.19,8.7,4.21,7.79,6.93,2.39,1.73,Gabbro
44.04,24.8,3.95,8.44,3.87,5.1,0.83,2.92,Basalt
61.12,18.06,12.19,8.17,8.31,7.49,2.08,0.52,Gabbro
42.94,16.72,11.05,8.11,8.37,0.66,4.38,2.01,Amphibole
45.18,19.21,2.29,2.07,10.44,1.77,3.55,1.48,Olivine
41.66,19.52,12.91,4.98,6.55,4.24,2.89,2.01,Pyroxene
62.53,11.42,12.99,5.41,7.85,0.64,4.98,0.26,Syenite
70.58,19.12,3.48,10.32,11.99,6.28,1.94,0.49,Syenite
55.04,8.79,5.49,2.13,6.23,3.73,4.28,1.4,Mica
64.97,13.86,4.49,5.55,11.72,1.48,0.7,0.93,Granite
33.68,13.15,14.9,11.47,1.49,5.8,2.8,2.07,Andesite
43.31,16.81,9.55,2.01,8.42,1.8,1.03,0.2,Basalt
76.51,21.13,9.23,9.13,5.17,5.66,2.4,1.19,Serpentine
37.94,24.41,11.0,12.15,4.77,0.77,2.83,2.33,Syenite
34.49,16.15,8.04,3.39,10.09,7.22,3.85,1.19,Serpentine
36.15,20.88,7.67,12.24,4.45,7.5,1.61,1.57,Serpentine
63.55,5.94,5.02,3.27,8.12,2.91,3.75,2.12,Slate
57.33,20.73,14.88,14.44,10.21,5.03,0.95,2.57,Amphibole
42.23,12.82,6.29,9.62,5.78,6.81,0.57,2.6,Gabbro
62.39,21.95,9.39,9.35,2.66,3.84,2.51,1.94,Andesite
46.2,11.86,11.03,4.52,9.6,3.79,3.41,1.28,Talc
40.51,15.66,1.71,6.43,11.54,5.83,2.79,0.88,Gabbro
46.94,24.61,8.68,13.67,1.18,6.6,3.19,2.04,Amphibolite
76.56,18.95,3.82,7.1,4.11,3.88,3.34,0.86,Feldspar
72.44,12.81,3.92,15.0,1.42,6.25,0.87,2.26,Amphibole
31.16,16.89,4.4,11.63,10.82,2.15,2.71,0.76,Serpentine
58.7,23.18,1.92,5.24,0.9,6.53,0.53,1.07,Gabbro
41.33,19.59,9.75,12.32,0.85,2.52,1.38,2.17,Amphibole
62.64,10.98,6.24,4.95,6.9,2.8,1.64,1.58,Basalt
34.8,23.45,8.58,12.91,3.82,0.69,3.79,1.58,Granite
49.35,22.53,14.81,2.78,11.96,4.45,4.54,1.18,Amphibolite
44.71,24.55,1.98,7.82,8.22,7.74,1.23,1.2,Olivine
47.0,8.96,1.31,8.43,7.21,6.09,3.43,1.55,Talc
48.86,22.53,9.14,5.0,4.49,5.37,2.69,1.91,Basalt
66.75,16.3,12.24,12.51,9.92,6.53,2.87,2.09,Basalt
75.37,10.14,12.43,7.85,10.2,1.95,0.7,1.02,Andesite
66.18,24.07,8.89,5.21,4.29,3.33,3.11,2.62,Rhyolite
61.2,24.31,2.33,11.47,5.5,6.11,3.33,0.21,Basalt
68.0,14.75,2.96,7.47,8.33,7.78,3.34,2.58,Andesite
69.88,19.44,7.63,5.96,9.89,2.65,0.57,1.91,Syenite
72.78,15.35,12.71,5.66,10.99,4.45,3.58,2.36,Slate
39.24,7.76,14.42,12.79,2.57,5.34,2.08,2.2,Mica
69.96,24.67,7.63,13.81,9.96,2.35,1.8,0.73,Olivine
37.5,20.14,6.46,5.34,6.39,7.57,4.27,0.26,Olivine
76.46,9.21,13.26,14.81,8.11,6.03,4.52,2.63,Amphibolite
77.76,14.35,8.28,9.64,0.74,1.75,3.32,1.56,Talc
66.57,18.5,1.42,5.94,4.57,5.17,1.36,0.87,Olivine
45.01,21.11,6.11,11.09,1.83,2.68,1.64,2.54,Dolomite
70.01,7.98,12.14,2.02,8.86,1.56,4.01,1.3,Talc
49.77,5.59,1.58,8.93,9.26,4.53,2.27,2.13,Pyroxene
31.76,21.98,2.8,3.89,9.59,4.2,3.91,2.62,Talc
30.86,14.12,4.21,6.18,6.5,3.17,1.32,1.45,Dolomite
66.94,16.4,1.35,2.29,10.18,6.68,2.82,2.67,Granite
73.31,14.56,7.97,14.13,8.26,5.76,4.25,2.04,Gabbro
37.99,15.88,5.19,12.65,1.7,6.56,0.71,1.65,Serpentine
64.83,9.39,10.52,2.77,5.64,7.83,1.49,1.64,Amphibolite
71.31,19.49,7.55,3.41,4.6,2.22,4.36,2.95,Andesite
70.32,20.13,7.8,9.81,10.11,4.28,4.46,0.46,Amphibole
50.76,20.45,11.91,14.66,11.43,6.96,1.02,0.41,Quartz
76.13,5.32,3.33,12.4,6.08,3.45,2.37,1.31,Serpentine
52.48,22.37,13.02,7.97,8.85,4.71,3.13,0.67,Mica
52.79,20.93,3.49,5.18,10.31,4.26,4.16,1.29,Syenite
72.85,13.58,2.18,1.25,8.74,4.8,2.29,1.97,Talc
61.24,19.6,4.7,2.55,4.52,4.32,4.55,2.23,Granite
62.18,12.91,13.89,2.76,1.64,6.51,2.08,2.62,Feldspar
61.4,22.9,12.49,13.58,6.87,6.9,2.56,2.37,Chlorite
60.74,16.67,1.09,8.13,11.7,1.5,4.53,0.77,Serpentine
47.14,24.16,11.6,8.9,7.26,1.92,1.96,2.51,Talc
68.27,17.85,13.5,7.48,10.37,2.11,4.9,2.51,Granite
59.64,24.88,5.08,14.02,6.33,2.64,2.68,0.33,Syenite
74.46,21.81,14.2,14.8,9.95,6.4,2.76,2.04,Serpentine
67.78,9.87,4.59,3.05,10.35,3.05,3.94,0.84,Slate
43.29,11.68,14.53,6.74,3.99,7.36,3.31,0.32,Chlorite
68.79,10.46,5.72,13.9,5.13,5.89,3.56,2.33,Amphibolite
73.31,17.37,7.57,11.17,4.7,2.42,2.49,0.78,Peridotite
75.67,14.86,13.78,5.53,0.66,6.88,4.46,1.21,Dolomite
64.77,10.9,9.42,7.85,9.78,1.5,0.84,2.81,Quartz
67.76,15.41,8.68,4.72,7.36,4.7,2.22,2.54,Olivine
36.31,21.44,6.16,1.74,12.0,1.23,0.55,1.55,Amphibolite
62.32,14.35,3.98,8.28,1.78,6.25,4.36,0.92,Syenite
58.88,23.86,6.54,4.7,3.84,1.3,2.92,2.6,Rhyolite
32.38,21.04,13.1,13.06,5.58,5.71,1.05,2.22,Slate
43.89,20.53,9.16,7.8,7.81,3.47,2.89,2.21,Chlorite
50.26,21.61,4.25,2.23,2.35,2.11,2.27,2.62,Amphibolite
